match_id,wc_year,match_date,stage,team,opponent,home_away,scorer,goal_minute_raw,goal_minute_numeric,is_stoppage_time,goal_order_for_team
2022-0044,2022,2022-12-09,Quarter-finals,Argentina,Netherlands,Away,Lionel Messi,73,73,False,2
2022-0046,2022,2022-12-06,Round of 16,Portugal,Switzerland,Home,Gonçalo Ramos,17,17,False,1
2022-0046,2022,2022-12-06,Round of 16,Portugal,Switzerland,Home,Pepe,33,33,False,2
2022-0046,2022,2022-12-06,Round of 16,Portugal,Switzerland,Home,Gonçalo Ramos,51,51,False,3
2022-0046,2022,2022-12-06,Round of 16,Portugal,Switzerland,Home,Raphaël Guerreiro,55,55,False,4
2022-0046,2022,2022-12-06,Round of 16,Portugal,Switzerland,Home,Gonçalo Ramos,67,67,False,5
2022-0046,2022,2022-12-06,Round of 16,Portugal,Switzerland,Home,Rafael Leão,90+2,92,True,6
2022-0046,2022,2022-12-06,Round of 16,Switzerland,Portugal,Away,Manuel Akanji,58,58,False,1
2022-0047,2022,2022-12-05,Round of 16,Japan,Croatia,Home,Daizen Maeda,43,43,False,1
2022-0047,2022,2022-12-05,Round of 16,Croatia,Japan,Away,Ivan Periši,55,55,False,1
2022-0048,2022,2022-12-05,Round of 16,Brazil,Korea Republic,Home,Vinicius Júnior,7,7,False,1
2022-0048,2022,2022-12-05,Round of 16,Brazil,Korea Republic,Home,Richarlison,29,29,False,2
2022-0048,2022,2022-12-05,Round of 16,Brazil,Korea Republic,Home,Lucas Paquetá,36,36,False,3
2022-0048,2022,2022-12-05,Round of 16,Brazil,Korea Republic,Home,Neymar,11,11,False,4
2022-0048,2022,2022-12-05,Round of 16,Korea Republic,Brazil,Away,Paik Seung-ho,76,76,False,1
2022-0049,2022,2022-12-04,Round of 16,France,Poland,Home,Olivier Giroud,44,44,False,1
2022-0049,2022,2022-12-04,Round of 16,France,Poland,Home,Kylian Mbappé,74,74,False,2
2022-0049,2022,2022-12-04,Round of 16,France,Poland,Home,Kylian Mbappé,90+1,91,True,3
2022-0049,2022,2022-12-04,Round of 16,Poland,France,Away,Robert Lewandowski,90+9,99,True,1
