scorer,goals,tournaments,teams
Richard Herrmann,1,1,Germany
Richard Morales,1,1,Uruguay
Rildo da Costa Menezes,1,1,Brazil
Rio Ferdinand,1,1,England
Robbie Earle,1,1,Jamaica
Robert Jarni,1,1,Croatia
Robert Koren,1,1,Slovenia
Roberto,1,1,Brazil
Roberto Ayala,1,1,Argentina
Roberto Carlos,1,1,Brazil
Roberto Challe,1,1,Peru
Roberto Firmino,1,1,Brazil
Roberto Gayón,1,1,Mexico
Roberto López Ufarte,1,1,Spain
Rodrigo Millar,1,1,Chile
Roger Ljung,1,1,Sweden
Rolf Wüthrich,1,1,Switzerland
Romain Saïss,1,1,Morocco
Romaric,1,1,Côte d'Ivoire
Ronald Koeman,1,1,Netherlands
Roozbeh Cheshmi,1,1,IR Iran
Roque Santa Cruz,1,1,Paraguay
Rubén Ayala,1,1,Argentina
Rubén Toribio Díaz,1,1,Peru
Rudolf Noack,1,1,Germany
Rui Costa,1,1,Portugal
Ruud Gullit,1,1,Netherlands
Ruud Krol,1,1,Netherlands
Ruud van Nistelrooy,1,1,Netherlands
Róger Flores,1,1,Costa Rica
Rónald González Brenes,1,1,Costa Rica
Rüdiger Abramczik,1,1,West Germany
Sadio Mané,1,1,Senegal
Saeed Al-Owairan,1,1,Saudi Arabia
Safet Suši,1,1,Yugoslavia
Saleh Al-Shehri,1,1,Saudi Arabia
Salif Diao,1,1,Senegal
Salman Al-Faraj,1,1,Saudi Arabia
Salomon Kalou,1,1,Côte d'Ivoire
Sammy Baird,1,1,Scotland
Samson Siasia,1,1,Nigeria
Samuel Umtiti,1,1,France
Sandro Mazzola,1,1,Italy
Saša Ili,1,1,Serbia and Montenegro
Sebastjan Cimirotic,1,1,Slovenia
Seo Jung-won,1,1,Korea Republic
Seol Ki-hyeon,1,1,Korea Republic
Serge Gnabry,1,1,Germany
Sergei Aleinikov,1,1,Soviet Union
Sergei Pavlovich Baltacha,1,1,Soviet Union
Sergej Milinkovic-Savic,1,1,Serbia
Sergey Rodionov,1,1,Soviet Union
Sergio Ahumada,1,1,Chile
Serhiy Rebrov,1,1,Ukraine
Shane Smeltz,1,1,New Zealand
Shinji Kagawa,1,1,Japan
Shunsuke Nakamura,1,1,Japan
Sigfried Held,1,1,West Germany
Silvestre Varela,1,1,Portugal
Silviu Bindea,1,1,Romania
Sinha,1,1,Mexico
Siniša Mihajlovi,1,1,FR Yugoslavia
Siphiwe Tshabalala,1,1,South Africa
Siyabonga Nomvethe,1,1,South Africa
Skander Souayah,1,1,Tunisia
Sofiane Feghouli,1,1,Algeria
Sohrab Bakhtiarizadeh,1,1,IR Iran
Sokratis Papastathopoulos,1,1,Greece
Sol Campbell,1,1,England
Song Chong-gug,1,1,Korea Republic
Stan Mortensen,1,1,England
Stanislaus Kobierski,1,1,Germany
Stefan Majewski,1,1,Poland
Stefan de Vrij,1,1,Netherlands
Stephen Appiah,1,1,Ghana
Steve Archibald,1,1,Scotland
Steve Sumner,1,1,New Zealand
Steve Wooddin,1,1,New Zealand
Steven Zuber,1,1,Switzerland
Stjepan Bobek,1,1,Yugoslavia
Strahinja Pavlovic,1,1,Serbia
Stuart McCall,1,1,Scotland
Stéphane Chapuisat,1,1,Switzerland
Stéphane Demol,1,1,Belgium
Sunday Oliseh,1,1,Nigeria
Sándor Zombori,1,1,Hungary
Søren Lerby,1,1,Denmark
Takayuki Suzuki,1,1,Japan
Takuma Asano,1,1,Japan
Tarcisio Burgnich,1,1,Italy
Teboho Mokoena,1,1,South Africa
Tedj Bensaoula,1,1,Algeria
Terry Medwin,1,1,Wales
Teófilo Gutiérrez,1,1,Colombia
Theo Hernández,1,1,France
Theo de Jong,1,1,Netherlands
Thomas Helveg,1,1,Denmark
Thomas Linke,1,1,Germany
Thomas Meunier,1,1,Belgium
Thomas Sjöberg,1,1,Sweden
Tihomir Ognjanov,1,1,Yugoslavia
Tijani Babangida,1,1,Nigeria
Timothy Weah,1,1,United States
Todor Kolev,1,1,Bulgaria
Tom Florie,1,1,United States
Tom Turesson,1,1,Sweden
Tomás Balcázar,1,1,Mexico
Tomás Fernández,1,1,Cuba
Toni Polster,1,1,Austria
Tore André Flo,1,1,Norway
Tore Keller,1,1,Sweden
Torsten Frings,1,1,Germany
Tranquillo Barnetta,1,1,Switzerland
Txiki Begiristain,1,1,Spain
Uli Hoeneß,1,1,West Germany
Uwe Bein,1,1,West Germany
Uwe Reinders,1,1,West Germany
Valdomiro Vaz Franco,1,1,Brazil
Valeri Karpin,1,1,Russia
Valter Birsa,1,1,Slovenia
Vasilis Torosidis,1,1,Greece
Vasyl Rats,1,1,Soviet Union
Vedad Ibiševi,1,1,Bosnia and Herzegovina
Victor Ikpeba,1,1,Nigeria
Victor Moses,1,1,Nigeria
Vilmos Kohut,1,1,Hungary
Vinicius Júnior,1,1,Brazil
Vitaliy Khmelnytskyi,1,1,Soviet Union
Vladimir Beschastnykh,1,1,Russia
Vladimir Petrovi,1,1,Yugoslavia
Vladislav Bogievi,1,1,Yugoslavia
Vlastimil Kopecký,1,1,Czechoslovakia
Vojislav Meli,1,1,Yugoslavia
Václav Mašek,1,1,Czechoslovakia
Víctor Espárrago,1,1,Uruguay
Víctor Rangel,1,1,Mexico
Wayne Rooney,1,1,England
Wesley Sonck,1,1,Belgium
Wilbur Cush,1,1,Northern Ireland
Wilf Mannion,1,1,England
Wilhelm Hahnemann,1,1,Germany
Willy Jäggi,1,1,Switzerland
Willy van de Kerkhof,1,1,Netherlands
Wilson Oruma,1,1,Nigeria
Wim Kieft,1,1,Netherlands
Winston Parks,1,1,Costa Rica
Winston Reid,1,1,New Zealand
Wodzimierz Cioek,1,1,Poland
Wolfgang Weber,1,1,West Germany
Yacine Brahimi,1,1,Algeria
Yahya Golmohammadi,1,1,IR Iran
Yakubu Aiyegbeni,1,1,Nigeria
Yang Seung-kook,1,1,Korea DPR
Yasser Al-Qahtani,1,1,Saudi Arabia
Yasuhito End,1,1,Japan
Yaya Touré,1,1,Côte d'Ivoire
Yegor Titov,1,1,Russia
Yeltsin Tejeda,1,1,Costa Rica
Youri Djorkaeff,1,1,France
Yousuf Al-Thunayan,1,1,Saudi Arabia
Yuri Gavrilov,1,1,Soviet Union
Yuri Gazinskiy,1,1,Russia
Yussuf Poulsen,1,1,Denmark
Yuya Osako,1,1,Japan
Yvon Douis,1,1,France
Zakaria Aboukhlal,1,1,Morocco
Zdravko Rajkov,1,1,Yugoslavia
Ziad Jaziri,1,1,Tunisia
Zito,1,1,Brazil
Zlatan Ljubijankic,1,1,Slovenia
Zé Roberto,1,1,Brazil
lkay Gündoan,1,1,Germany
Álvaro Pereira,1,1,Uruguay
Álvaro Recoba,1,1,Uruguay
Ángel Cabrera,1,1,Uruguay
Édison Méndez,1,1,Ecuador
Émile Veinante,1,1,France
Óscar Duarte,1,1,Costa Rica
