home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Portugal,Bulgaria,3,0,0,0,25438,"Old Trafford Stadium, Manchester",Group stage,1966-07-16,England,1966,"Eusébio@38,José Augusto Torres@81",,1,0,1966-0740,3,3-0,3,False,Group,1960s,Old Trafford Stadium,Manchester,Portugal,Home win
Korea Republic,Uruguay,0,0,1,0,29039,"Friuli, Udine",Group stage,1990-06-21,Italy,1990,,Daniel Fonseca@90,0,0,1990-0741,1,0-1,1,False,Group,1990s,Friuli,Udine,Uruguay,Away win
England,Mexico,2,0,0,0,92570,"Wembley Stadium, London",Group stage,1966-07-16,England,1966,"Bobby Charlton@37,Roger Hunt@75",,0,0,1966-0742,2,2-0,2,False,Group,1960s,Wembley Stadium,London,England,Home win
Republic of Ireland,Netherlands,1,0,1,0,33288,"Della Favorita, Palermo",Group stage,1990-06-21,Italy,1990,Niall Quinn@71,Ruud Gullit@11,0,0,1990-0743,2,1-1,0,False,Group,1990s,Della Favorita,Palermo,Draw,Draw
Spain,Switzerland,2,0,1,0,32028,"Hillsborough, Sheffield",Group stage,1966-07-15,England,1966,"Manuel Sanchís@57,Amancio Amaro@75",René-Pierre Quentin@28,0,0,1966-0744,3,2-1,1,False,Group,1960s,Hillsborough,Sheffield,Spain,Home win
Uruguay,France,2,0,1,0,45662,"White City, London",Group stage,1966-07-15,England,1966,"Pedro Rocha@26,Julio César Cortés@31",Héctor De Bourgoing@15,0,0,1966-0745,3,2-1,1,False,Group,1960s,White City,London,Uruguay,Home win
Hungary,Brazil,3,0,1,0,51387,"Goodison Park, Liverpool",Group stage,1966-07-15,England,1966,"Ferenc Bene@2,János Farkas@64,Kálmán Mészöly@73",Tostão@14,0,0,1966-0746,4,3-1,2,False,Group,1960s,Goodison Park,Liverpool,Hungary,Home win
Korea DPR,Chile,1,0,1,0,13792,"Ayresome Park, Middlesbrough",Group stage,1966-07-15,England,1966,Pak Seung-zin@88,Rubén Marcos@26,0,0,1966-0747,2,1-1,0,False,Group,1960s,Ayresome Park,Middlesbrough,Draw,Draw
Argentina,Spain,2,0,1,0,42738,"Villa Park, Birmingham",Group stage,1966-07-13,England,1966,"Luis Artime@65,Luis Artime@79",Pirri@71,0,0,1966-0748,3,2-1,1,False,Group,1960s,Villa Park,Birmingham,Argentina,Home win
France,Mexico,1,0,1,0,69237,"Wembley Stadium, London",Group stage,1966-07-13,England,1966,Gérard Hausser@62,Enrique Borja@48,0,0,1966-0749,2,1-1,0,False,Group,1960s,Wembley Stadium,London,Draw,Draw
