home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Costa Rica,England,0,0,0,0,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,2014-06-24,Brazil,2014,,,0,0,2014-0001,0,0-0,0,False,Group,2010s,Estádio Governador Magalhães Pinto,Belo Horizonte,Draw,Draw
Spain,Russia,1,3,1,4,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Round of 16,2018-07-01,Russia,2018,,Artem Dzyuba@42,1,0,2018-0002,2,1-1,0,True,Knockout,2010s,Olimpiyskiy stadion Luzhniki,Moskva,Russia,Away win on penalties
Croatia,Denmark,1,3,1,2,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Round of 16,2018-07-01,Russia,2018,Mario Mandžuki@4,Mathias Jørgensen@1,0,0,2018-0003,2,1-1,0,True,Knockout,2010s,Stadion Nizhny Novgorod,Nizhny Novgorod,Croatia,Home win on penalties
France,Argentina,4,0,3,0,42873,"Kazan Arena, Kazan",Round of 16,2018-06-30,Russia,2018,"Benjamin Pavard@57,Kylian Mbappé@64,Kylian Mbappé@68,Antoine Griezmann@13","Ángel Di María@41,Gabriel Mercado@48,Sergio Agüero@90+3",0,0,2018-0004,7,4-3,1,False,Knockout,2010s,Kazan Arena,Kazan,France,Home win
Uruguay,Portugal,2,0,1,0,44287,"Olimpiyskiy Stadion Fisht, Sochi",Round of 16,2018-06-30,Russia,2018,"Edinson Cavani@7,Edinson Cavani@62",Pepe@55,0,0,2018-0005,3,2-1,1,False,Knockout,2010s,Olimpiyskiy Stadion Fisht,Sochi,Uruguay,Home win
Japan,Poland,0,0,1,0,42189,"Volgograd Arena, Volgograd",Group stage,2018-06-28,Russia,2018,,Jan Bednarek@59,0,0,2018-0006,1,0-1,1,False,Group,2010s,Volgograd Arena,Volgograd,Poland,Away win
Senegal,Colombia,0,0,1,0,41970,"Cosmos Arena, Samara",Group stage,2018-06-28,Russia,2018,,Yerry Mina@74,0,0,2018-0007,1,0-1,1,False,Group,2010s,Cosmos Arena,Samara,Colombia,Away win
England,Belgium,0,0,1,0,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,2018-06-28,Russia,2018,,Adnan Januzaj@51,0,0,2018-0008,1,0-1,1,False,Group,2010s,Kaliningrad Stadium,Kaliningrad,Belgium,Away win
Panama,Tunisia,1,0,2,0,37168,"Mordovia Arena, Saransk",Group stage,2018-06-28,Russia,2018,,"Fakhreddine Ben Youssef@51,Wahbi Khazri@66",1,0,2018-0009,3,1-2,1,False,Group,2010s,Mordovia Arena,Saransk,Tunisia,Away win
Korea Republic,Germany,2,0,0,0,41835,"Kazan Arena, Kazan",Group stage,2018-06-27,Russia,2018,"Kim Young-gwon@90+3,Son Heung-min@90+6",,0,0,2018-0010,2,2-0,2,False,Group,2010s,Kazan Arena,Kazan,Korea Republic,Home win
Mexico,Sweden,0,0,3,0,33061,"Stadion Central'nyj, Yekaterinburg",Group stage,2018-06-27,Russia,2018,,"Ludwig Augustinsson@50,Andreas Granqvist@62",0,1,2018-0011,3,0-3,3,False,Group,2010s,Stadion Central'nyj,Yekaterinburg,Sweden,Away win
Switzerland,Costa Rica,2,0,2,0,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,2018-06-27,Russia,2018,"Blerim Džemaili@31,Josip Drmic@88",Kendall Waston@56,0,1,2018-0012,4,2-2,0,False,Group,2010s,Stadion Nizhny Novgorod,Nizhny Novgorod,Draw,Draw
Serbia,Brazil,0,0,2,0,44190,"Otkrytie Arena, Moskva",Group stage,2018-06-27,Russia,2018,,"Paulinho@36,Thiago Silva@68",0,0,2018-0013,2,0-2,2,False,Group,2010s,Otkrytie Arena,Moskva,Brazil,Away win
Australia,Peru,0,0,2,0,44073,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,2018-06-26,Russia,2018,,"André Carrillo@18,Paolo Guerrero@50",0,0,2018-0014,2,0-2,2,False,Group,2010s,Olimpiyskiy Stadion Fisht,Sochi,Peru,Away win
Denmark,France,0,0,0,0,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,2018-06-26,Russia,2018,,,0,0,2018-0015,0,0-0,0,False,Group,2010s,Olimpiyskiy stadion Luzhniki,Moskva,Draw,Draw
Iceland,Croatia,1,0,2,0,43472,"Rostov Arena, Rostov-na-Donu",Group stage,2018-06-26,Russia,2018,Gylfi Sigurðsson@76,"Milan Badelj@53,Ivan Periši@90",0,0,2018-0016,3,1-2,1,False,Group,2010s,Rostov Arena,Rostov-na-Donu,Croatia,Away win
Nigeria,Argentina,1,0,2,0,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,2018-06-26,Russia,2018,Victor Moses@51,"Lionel Messi@14,Marcos Rojo@86",0,0,2018-0017,3,1-2,1,False,Group,2010s,Gazprom Arena,Sankt-Petersburg,Argentina,Away win
Saudi Arabia,Egypt,2,0,1,0,36823,"Volgograd Arena, Volgograd",Group stage,2018-06-25,Russia,2018,"Salem Al-Dawsari@90+5,Salman Al-Faraj@45+6",Mohamed Salah@22,0,0,2018-0018,3,2-1,1,False,Group,2010s,Volgograd Arena,Volgograd,Saudi Arabia,Home win
Uruguay,Russia,3,0,0,0,41970,"Cosmos Arena, Samara",Group stage,2018-06-25,Russia,2018,"Luis Suárez@10,Edinson Cavani@90",,1,0,2018-0019,3,3-0,3,False,Group,2010s,Cosmos Arena,Samara,Uruguay,Home win
Spain,Morocco,2,0,2,0,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,2018-06-25,Russia,2018,"Isco@19,Iago Aspas@90+1","Khalid Boutaïb@14,Youssef En-Nesyri@81",0,0,2018-0020,4,2-2,0,False,Group,2010s,Kaliningrad Stadium,Kaliningrad,Draw,Draw
IR Iran,Portugal,1,0,1,0,41685,"Mordovia Arena, Saransk",Group stage,2018-06-25,Russia,2018,Karim Ansarifard@90+3,Ricardo Quaresma@45,0,0,2018-0021,2,1-1,0,False,Group,2010s,Mordovia Arena,Saransk,Draw,Draw
England,Panama,6,0,1,0,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,2018-06-24,Russia,2018,"John Stones@8,Jesse Lingard@36,John Stones@40,Harry Kane@62,Harry Kane@22,Harry Kane@45+1",Felipe Baloy@78,0,0,2018-0022,7,6-1,5,False,Group,2010s,Stadion Nizhny Novgorod,Nizhny Novgorod,England,Home win
Japan,Senegal,2,0,2,0,32572,"Stadion Central'nyj, Yekaterinburg",Group stage,2018-06-24,Russia,2018,"Takashi Inui@34,Keisuke Honda@78","Sadio Mané@12,Moussa Wagué@71",0,0,2018-0023,4,2-2,0,False,Group,2010s,Stadion Central'nyj,Yekaterinburg,Draw,Draw
Poland,Colombia,0,0,3,0,42873,"Kazan Arena, Kazan",Group stage,2018-06-24,Russia,2018,,"Yerry Mina@40,Radamel Falcao@70,Juan Cuadrado@75",0,0,2018-0024,3,0-3,3,False,Group,2010s,Kazan Arena,Kazan,Colombia,Away win
Belgium,Tunisia,5,0,2,0,44190,"Otkrytie Arena, Moskva",Group stage,2018-06-23,Russia,2018,"Romelu Lukaku@16,Romelu Lukaku@45+3,Eden Hazard@51,Michy Batshuayi@90,Eden Hazard@6","Dylan Bronn@18,Wahbi Khazri@90+3",0,0,2018-0025,7,5-2,3,False,Group,2010s,Otkrytie Arena,Moskva,Belgium,Home win
Argentina,France,3,4,3,2,88966,"Lusail Iconic Stadium, Lusail",Final,2022-12-18,Qatar,2022,"Ángel Di María@36,Lionel Messi@108,Lionel Messi@23","Kylian Mbappé@81,Kylian Mbappé@80,Kylian Mbappé@118",0,0,2022-0026,6,3-3,0,True,Final,2020s,Lusail Iconic Stadium,Lusail,Argentina,Home win on penalties
Korea Republic,Mexico,1,0,2,0,43472,"Rostov Arena, Rostov-na-Donu",Group stage,2018-06-23,Russia,2018,Son Heung-min@90+3,"Javier Hernández@66,Carlos Vela@26",0,0,2018-0027,3,1-2,1,False,Group,2010s,Rostov Arena,Rostov-na-Donu,Mexico,Away win
Germany,Sweden,2,0,1,0,44287,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,2018-06-23,Russia,2018,"Marco Reus@48,Toni Kroos@90+5",Ola Toivonen@32,0,0,2018-0028,3,2-1,1,False,Group,2010s,Olimpiyskiy Stadion Fisht,Sochi,Germany,Home win
Brazil,Costa Rica,2,0,0,0,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,2018-06-22,Russia,2018,"Philippe Coutinho@90+1,Neymar@90+7",,0,0,2018-0029,2,2-0,2,False,Group,2010s,Gazprom Arena,Sankt-Petersburg,Brazil,Home win
Croatia,Morocco,2,0,1,0,44137,"Khalifa International Stadium, Doha",Third-place match,2022-12-17,Qatar,2022,"Joško Gvardiol@7,Mislav Orši@42",Achraf Dari@9,0,0,2022-0030,3,2-1,1,False,Placement,2020s,Khalifa International Stadium,Doha,Croatia,Home win
Nigeria,Iceland,2,0,0,0,40904,"Volgograd Arena, Volgograd",Group stage,2018-06-22,Russia,2018,"Ahmed Musa@49,Ahmed Musa@75",,0,0,2018-0031,2,2-0,2,False,Group,2010s,Volgograd Arena,Volgograd,Nigeria,Home win
Serbia,Switzerland,1,0,2,0,33167,"Kaliningrad Stadium, Kaliningrad",Group stage,2018-06-22,Russia,2018,Aleksandar Mitrovic@5,"Granit Xhaka@52,Xherdan Shaqiri@90",0,0,2018-0032,3,1-2,1,False,Group,2010s,Kaliningrad Stadium,Kaliningrad,Switzerland,Away win
Denmark,Australia,1,0,1,0,40727,"Cosmos Arena, Samara",Group stage,2018-06-21,Russia,2018,Christian Eriksen@7,Mile Jedinak@38,0,0,2018-0033,2,1-1,0,False,Group,2010s,Cosmos Arena,Samara,Draw,Draw
France,Morocco,2,0,0,0,68294,"Al Bayt Stadium, Al Khor",Semi-finals,2022-12-14,Qatar,2022,"Theo Hernández@5,Randal Kolo Muani@79",,0,0,2022-0034,2,2-0,2,False,Knockout,2020s,Al Bayt Stadium,Al Khor,France,Home win
France,Peru,1,0,0,0,32789,"Stadion Central'nyj, Yekaterinburg",Group stage,2018-06-21,Russia,2018,Kylian Mbappé@34,,0,0,2018-0035,1,1-0,1,False,Group,2010s,Stadion Central'nyj,Yekaterinburg,France,Home win
Argentina,Croatia,0,0,3,0,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,2018-06-21,Russia,2018,,"Ante Rebic@53,Luka Modric@80,Ivan Rakitic@90+1",0,0,2018-0036,3,0-3,3,False,Group,2010s,Stadion Nizhny Novgorod,Nizhny Novgorod,Croatia,Away win
Portugal,Morocco,1,0,0,0,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,2018-06-20,Russia,2018,Cristiano Ronaldo@4,,0,0,2018-0037,1,1-0,1,False,Group,2010s,Olimpiyskiy stadion Luzhniki,Moskva,Portugal,Home win
Uruguay,Saudi Arabia,1,0,0,0,42678,"Rostov Arena, Rostov-na-Donu",Group stage,2018-06-20,Russia,2018,Luis Suárez@23,,0,0,2018-0038,1,1-0,1,False,Group,2010s,Rostov Arena,Rostov-na-Donu,Uruguay,Home win
Argentina,Croatia,3,0,0,0,88966,"Lusail Iconic Stadium, Lusail",Semi-finals,2022-12-13,Qatar,2022,"Julián Álvarez@39,Julián Álvarez@69,Lionel Messi@34",,0,0,2022-0039,3,3-0,3,False,Knockout,2020s,Lusail Iconic Stadium,Lusail,Argentina,Home win
Spain,Honduras,2,0,0,0,54386,"Emirates Airline Park, Johannesburg",Group stage,2010-06-21,South Africa,2010,"David Villa@17,David Villa@51",,0,0,2010-0040,2,2-0,2,False,Group,2010s,Emirates Airline Park,Johannesburg,Spain,Home win
Morocco,Portugal,1,0,0,0,44198,"Al Thumama Stadium, ath-Thumama",Quarter-finals,2022-12-10,Qatar,2022,Youssef En-Nesyri@42,,0,0,2022-0041,1,1-0,1,False,Knockout,2020s,Al Thumama Stadium,ath-Thumama,Morocco,Home win
England,France,1,0,2,0,68895,"Al Bayt Stadium, Al Khor",Quarter-finals,2022-12-10,Qatar,2022,Harry Kane@54,"Aurélien Tchouaméni@17,Olivier Giroud@78",0,0,2022-0042,3,1-2,1,False,Knockout,2020s,Al Bayt Stadium,Al Khor,France,Away win
Croatia,Brazil,1,4,1,2,43893,"Education City Stadium, Doha",Quarter-finals,2022-12-09,Qatar,2022,Bruno Petkovic@117,Neymar@105+1,0,0,2022-0043,2,1-1,0,True,Knockout,2020s,Education City Stadium,Doha,Croatia,Home win on penalties
Netherlands,Argentina,2,3,2,4,88235,"Lusail Iconic Stadium, Lusail",Quarter-finals,2022-12-09,Qatar,2022,"Wout Weghorst@83,Wout Weghorst@90+11","Nahuel Molina@35,Lionel Messi@73",0,0,2022-0044,4,2-2,0,True,Knockout,2020s,Lusail Iconic Stadium,Lusail,Argentina,Away win on penalties
Morocco,Spain,0,3,0,0,44667,"Education City Stadium, Doha",Round of 16,2022-12-06,Qatar,2022,,,0,0,2022-0045,0,0-0,0,True,Knockout,2020s,Education City Stadium,Doha,Morocco,Home win on penalties
Portugal,Switzerland,6,0,1,0,83720,"Lusail Iconic Stadium, Lusail",Round of 16,2022-12-06,Qatar,2022,"Gonçalo Ramos@17,Pepe@33,Gonçalo Ramos@51,Raphaël Guerreiro@55,Gonçalo Ramos@67,Rafael Leão@90+2",Manuel Akanji@58,0,0,2022-0046,7,6-1,5,False,Knockout,2020s,Lusail Iconic Stadium,Lusail,Portugal,Home win
Japan,Croatia,1,1,1,3,42523,"Al Janoub Stadium, Al Wakrah",Round of 16,2022-12-05,Qatar,2022,Daizen Maeda@43,Ivan Periši@55,0,0,2022-0047,2,1-1,0,True,Knockout,2020s,Al Janoub Stadium,Al Wakrah,Croatia,Away win on penalties
Brazil,Korea Republic,4,0,1,0,43847,"Stadium 974, Doha",Round of 16,2022-12-05,Qatar,2022,"Vinicius Júnior@7,Richarlison@29,Lucas Paquetá@36,Neymar@11",Paik Seung-ho@76,0,0,2022-0048,5,4-1,3,False,Knockout,2020s,Stadium 974,Doha,Brazil,Home win
France,Poland,3,0,1,0,40989,"Al Thumama Stadium, ath-Thumama",Round of 16,2022-12-04,Qatar,2022,"Olivier Giroud@44,Kylian Mbappé@74,Kylian Mbappé@90+1",Robert Lewandowski@90+9,0,0,2022-0049,4,3-1,2,False,Knockout,2020s,Al Thumama Stadium,ath-Thumama,France,Home win
England,Senegal,3,0,0,0,65985,"Al Bayt Stadium, Al Khor",Round of 16,2022-12-04,Qatar,2022,"Jordan Henderson@39,Harry Kane@45+3,Bukayo Saka@57",,0,0,2022-0050,3,3-0,3,False,Knockout,2020s,Al Bayt Stadium,Al Khor,England,Home win
Netherlands,United States,3,0,1,0,44846,"Khalifa International Stadium, Doha",Round of 16,2022-12-03,Qatar,2022,"Memphis@10,Daley Blind@45+1,Denzel Dumfries@81",Haji Wright@76,0,0,2022-0051,4,3-1,2,False,Knockout,2020s,Khalifa International Stadium,Doha,Netherlands,Home win
Argentina,Australia,2,0,1,0,45032,"Ahmed bin Ali Stadium, Umm Al Afaei",Round of 16,2022-12-03,Qatar,2022,"Lionel Messi@35,Julián Álvarez@57",,0,1,2022-0052,3,2-1,1,False,Knockout,2020s,Ahmed bin Ali Stadium,Umm Al Afaei,Argentina,Home win
Korea Republic,Portugal,2,0,1,0,44097,"Education City Stadium, Doha",Group stage,2022-12-02,Qatar,2022,"Kim Young-gwon@27,Hwang Hee-chan@90+1",Ricardo Horta@5,0,0,2022-0053,3,2-1,1,False,Group,2020s,Education City Stadium,Doha,Korea Republic,Home win
Ghana,Uruguay,0,0,2,0,43443,"Al Janoub Stadium, Al Wakrah",Group stage,2022-12-02,Qatar,2022,,"Giorgian De Arrascaeta@26,Giorgian De Arrascaeta@32",0,0,2022-0054,2,0-2,2,False,Group,2020s,Al Janoub Stadium,Al Wakrah,Uruguay,Away win
Cameroon,Brazil,1,0,0,0,85986,"Lusail Iconic Stadium, Lusail",Group stage,2022-12-02,Qatar,2022,Vincent Aboubakar@90+2,,0,0,2022-0055,1,1-0,1,False,Group,2020s,Lusail Iconic Stadium,Lusail,Cameroon,Home win
Serbia,Switzerland,2,0,3,0,41378,"Stadium 974, Doha",Group stage,2022-12-02,Qatar,2022,"Aleksandar Mitrovic@26,Dušan Vlahovi@35","Xherdan Shaqiri@20,Breel Embolo@44,Remo Freuler@48",0,0,2022-0056,5,2-3,1,False,Group,2020s,Stadium 974,Doha,Switzerland,Away win
Canada,Morocco,1,0,2,0,43102,"Al Thumama Stadium, ath-Thumama",Group stage,2022-12-01,Qatar,2022,,"Hakim Ziyech@4,Youssef En-Nesyri@23",1,0,2022-0057,3,1-2,1,False,Group,2020s,Al Thumama Stadium,ath-Thumama,Morocco,Away win
Croatia,Belgium,0,0,0,0,43984,"Ahmed bin Ali Stadium, Umm Al Afaei",Group stage,2022-12-01,Qatar,2022,,,0,0,2022-0058,0,0-0,0,False,Group,2020s,Ahmed bin Ali Stadium,Umm Al Afaei,Draw,Draw
Costa Rica,Germany,2,0,4,0,67054,"Al Bayt Stadium, Al Khor",Group stage,2022-12-01,Qatar,2022,Yeltsin Tejeda@58,"Serge Gnabry@10,Kai Havertz@73,Kai Havertz@85,Niclas Füllkrug@90",1,0,2022-0059,6,2-4,2,False,Group,2020s,Al Bayt Stadium,Al Khor,Germany,Away win
Japan,Spain,2,0,1,0,44851,"Khalifa International Stadium, Doha",Group stage,2022-12-01,Qatar,2022,"Ritsu Doan@48,Ao Tanaka@51",Álvaro Morata@12,0,0,2022-0060,3,2-1,1,False,Group,2020s,Khalifa International Stadium,Doha,Japan,Home win
Australia,Denmark,1,0,0,0,41232,"Al Janoub Stadium, Al Wakrah",Group stage,2022-11-30,Qatar,2022,Mathew Leckie@60,,0,0,2022-0061,1,1-0,1,False,Group,2020s,Al Janoub Stadium,Al Wakrah,Australia,Home win
Tunisia,France,1,0,0,0,43627,"Education City Stadium, Doha",Group stage,2022-11-30,Qatar,2022,Wahbi Khazri@58,,0,0,2022-0062,1,1-0,1,False,Group,2020s,Education City Stadium,Doha,Tunisia,Home win
Slovakia,Paraguay,0,0,2,0,26643,"Toyota Stadium, Bloemfontein",Group stage,2010-06-20,South Africa,2010,,"Enrique Vera@27,Cristian Riveros@86",0,0,2010-0063,2,0-2,2,False,Group,2010s,Toyota Stadium,Bloemfontein,Paraguay,Away win
Saudi Arabia,Mexico,1,0,2,0,84985,"Lusail Iconic Stadium, Lusail",Group stage,2022-11-30,Qatar,2022,Salem Al-Dawsari@90+5,"Henry Martín@47,Luis Chávez@52",0,0,2022-0064,3,1-2,1,False,Group,2020s,Lusail Iconic Stadium,Lusail,Mexico,Away win
Poland,Argentina,0,0,2,0,44089,"Stadium 974, Doha",Group stage,2022-11-30,Qatar,2022,,"Alexis Mac Allister@46,Julián Álvarez@67",0,0,2022-0065,2,0-2,2,False,Group,2020s,Stadium 974,Doha,Argentina,Away win
Ecuador,Senegal,1,0,2,0,44569,"Khalifa International Stadium, Doha",Group stage,2022-11-29,Qatar,2022,Moisés Caicedo@67,"Kalidou Koulibaly@70,Ismaila Sarr@44",0,0,2022-0066,3,1-2,1,False,Group,2020s,Khalifa International Stadium,Doha,Senegal,Away win
Netherlands,Qatar,2,0,0,0,66784,"Al Bayt Stadium, Al Khor",Group stage,2022-11-29,Qatar,2022,"Cody Gakpo@26,Frenkie de Jong@49",,0,0,2022-0067,2,2-0,2,False,Group,2020s,Al Bayt Stadium,Al Khor,Netherlands,Home win
IR Iran,United States,0,0,1,0,42127,"Al Thumama Stadium, ath-Thumama",Group stage,2022-11-29,Qatar,2022,,Christian Pulisic@38,0,0,2022-0068,1,0-1,1,False,Group,2020s,Al Thumama Stadium,ath-Thumama,United States,Away win
Wales,England,0,0,3,0,44297,"Ahmed bin Ali Stadium, Umm Al Afaei",Group stage,2022-11-29,Qatar,2022,,"Marcus Rashford@50,Phil Foden@52,Marcus Rashford@68",0,0,2022-0069,3,0-3,3,False,Group,2020s,Ahmed bin Ali Stadium,Umm Al Afaei,England,Away win
Cameroon,Serbia,3,0,3,0,39789,"Al Janoub Stadium, Al Wakrah",Group stage,2022-11-28,Qatar,2022,"Jean-Charles Castelletto@29,Vincent Aboubakar@64,Eric Maxim Choupo-Moting@66","Strahinja Pavlovic@45+1,Sergej Milinkovic-Savic@45+3,Aleksandar Mitrovic@53",0,0,2022-0070,6,3-3,0,False,Group,2020s,Al Janoub Stadium,Al Wakrah,Draw,Draw
Korea Republic,Ghana,2,0,3,0,43983,"Education City Stadium, Doha",Group stage,2022-11-28,Qatar,2022,"Cho Guesung@58,Cho Guesung@61","Mohammed Salisu@24,Kudus Mohammed@34,Kudus Mohammed@68",0,0,2022-0071,5,2-3,1,False,Group,2020s,Education City Stadium,Doha,Ghana,Away win
Brazil,Switzerland,1,0,0,0,43649,"Stadium 974, Doha",Group stage,2022-11-28,Qatar,2022,Casemiro@83,,0,0,2022-0072,1,1-0,1,False,Group,2020s,Stadium 974,Doha,Brazil,Home win
Portugal,Uruguay,2,0,0,0,88668,"Lusail Iconic Stadium, Lusail",Group stage,2022-11-28,Qatar,2022,"Bruno Fernandes@54,Bruno Fernandes@90+3",,0,0,2022-0073,2,2-0,2,False,Group,2020s,Lusail Iconic Stadium,Lusail,Portugal,Home win
Japan,Costa Rica,0,0,1,0,41479,"Ahmed bin Ali Stadium, Umm Al Afaei",Group stage,2022-11-27,Qatar,2022,,Keysher Fuller@81,0,0,2022-0074,1,0-1,1,False,Group,2020s,Ahmed bin Ali Stadium,Umm Al Afaei,Costa Rica,Away win
Belgium,Morocco,0,0,2,0,43738,"Al Thumama Stadium, ath-Thumama",Group stage,2022-11-27,Qatar,2022,,"Romain Saïss@73,Zakaria Aboukhlal@90+2",0,0,2022-0075,2,0-2,2,False,Group,2020s,Al Thumama Stadium,ath-Thumama,Morocco,Away win
Croatia,Canada,4,0,1,0,44374,"Khalifa International Stadium, Doha",Group stage,2022-11-27,Qatar,2022,"Andrej Kramaric@36,Marko Livaja@44,Andrej Kramaric@70,Lovro Majer@90+4",Alphonso Davies@2,0,0,2022-0076,5,4-1,3,False,Group,2020s,Khalifa International Stadium,Doha,Croatia,Home win
Spain,Germany,1,0,1,0,68895,"Al Bayt Stadium, Al Khor",Group stage,2022-11-27,Qatar,2022,Álvaro Morata@62,Niclas Füllkrug@83,0,0,2022-0077,2,1-1,0,False,Group,2020s,Al Bayt Stadium,Al Khor,Draw,Draw
Tunisia,Australia,0,0,1,0,41823,"Al Janoub Stadium, Al Wakrah",Group stage,2022-11-26,Qatar,2022,,Mitchell Duke@23,0,0,2022-0078,1,0-1,1,False,Group,2020s,Al Janoub Stadium,Al Wakrah,Australia,Away win
Poland,Saudi Arabia,2,0,0,0,44259,"Education City Stadium, Doha",Group stage,2022-11-26,Qatar,2022,"Piotr Zielinski@39,Robert Lewandowski@82",,0,0,2022-0079,2,2-0,2,False,Group,2020s,Education City Stadium,Doha,Poland,Home win
France,Denmark,2,0,1,0,42860,"Stadium 974, Doha",Group stage,2022-11-26,Qatar,2022,"Kylian Mbappé@61,Kylian Mbappé@86",Andreas Christensen@68,0,0,2022-0080,3,2-1,1,False,Group,2020s,Stadium 974,Doha,France,Home win
Argentina,Mexico,2,0,0,0,88966,"Lusail Iconic Stadium, Lusail",Group stage,2022-11-26,Qatar,2022,"Lionel Messi@64,Enzo Fernández@87",,0,0,2022-0081,2,2-0,2,False,Group,2020s,Lusail Iconic Stadium,Lusail,Argentina,Home win
Wales,IR Iran,0,0,2,0,40875,"Ahmed bin Ali Stadium, Umm Al Afaei",Group stage,2022-11-25,Qatar,2022,,"Roozbeh Cheshmi@90+9,Ramin Rezaeian@90+11",0,0,2022-0082,2,0-2,2,False,Group,2020s,Ahmed bin Ali Stadium,Umm Al Afaei,IR Iran,Away win
Qatar,Senegal,1,0,3,0,41797,"Al Thumama Stadium, ath-Thumama",Group stage,2022-11-25,Qatar,2022,Mohammed Muntari@78,"Boulaye Dia@41,Famara Diedhiou@48,Bamba Dieng@84",0,0,2022-0083,4,1-3,2,False,Group,2020s,Al Thumama Stadium,ath-Thumama,Senegal,Away win
Netherlands,Ecuador,1,0,1,0,44833,"Khalifa International Stadium, Doha",Group stage,2022-11-25,Qatar,2022,Cody Gakpo@6,Enner Valencia@49,0,0,2022-0084,2,1-1,0,False,Group,2020s,Khalifa International Stadium,Doha,Draw,Draw
England,United States,0,0,0,0,68463,"Al Bayt Stadium, Al Khor",Group stage,2022-11-25,Qatar,2022,,,0,0,2022-0085,0,0-0,0,False,Group,2020s,Al Bayt Stadium,Al Khor,Draw,Draw
Switzerland,Cameroon,1,0,0,0,39089,"Al Janoub Stadium, Al Wakrah",Group stage,2022-11-24,Qatar,2022,Breel Embolo@48,,0,0,2022-0086,1,1-0,1,False,Group,2020s,Al Janoub Stadium,Al Wakrah,Switzerland,Home win
Uruguay,Korea Republic,0,0,0,0,41663,"Education City Stadium, Doha",Group stage,2022-11-24,Qatar,2022,,,0,0,2022-0087,0,0-0,0,False,Group,2020s,Education City Stadium,Doha,Draw,Draw
Portugal,Ghana,3,0,2,0,42662,"Stadium 974, Doha",Group stage,2022-11-24,Qatar,2022,"João Félix@78,Rafael Leão@80,Cristiano Ronaldo@65","André Ayew@73,Osman Bukari@89",0,0,2022-0088,5,3-2,1,False,Group,2020s,Stadium 974,Doha,Portugal,Home win
Brazil,Serbia,2,0,0,0,88103,"Lusail Iconic Stadium, Lusail",Group stage,2022-11-24,Qatar,2022,"Richarlison@62,Richarlison@73",,0,0,2022-0089,2,2-0,2,False,Group,2020s,Lusail Iconic Stadium,Lusail,Brazil,Home win
Morocco,Croatia,0,0,0,0,59407,"Al Bayt Stadium, Al Khor",Group stage,2022-11-23,Qatar,2022,,,0,0,2022-0090,0,0-0,0,False,Group,2020s,Al Bayt Stadium,Al Khor,Draw,Draw
Germany,Japan,1,0,2,0,42608,"Khalifa International Stadium, Doha",Group stage,2022-11-23,Qatar,2022,lkay Gündoan@33,"Ritsu Doan@75,Takuma Asano@83",0,0,2022-0091,3,1-2,1,False,Group,2020s,Khalifa International Stadium,Doha,Japan,Away win
Italy,New Zealand,1,0,1,0,38229,"Mbombela Stadium, Nelspruit",Group stage,2010-06-20,South Africa,2010,Vincenzo Iaquinta@29,Shane Smeltz@7,0,0,2010-0092,2,1-1,0,False,Group,2010s,Mbombela Stadium,Nelspruit,Draw,Draw
Spain,Costa Rica,7,0,0,0,40013,"Al Thumama Stadium, ath-Thumama",Group stage,2022-11-23,Qatar,2022,"Dani Olmo@11,Marco Asensio@21,Ferrán Torres@54,Gavi@74,Carlos Soler@90,Álvaro Morata@90+2,Ferrán Torres@31",,0,0,2022-0093,7,7-0,7,False,Group,2020s,Al Thumama Stadium,ath-Thumama,Spain,Home win
Belgium,Canada,1,0,0,0,40432,"Ahmed bin Ali Stadium, Umm Al Afaei",Group stage,2022-11-23,Qatar,2022,Michy Batshuayi@44,,0,0,2022-0094,1,1-0,1,False,Group,2020s,Ahmed bin Ali Stadium,Umm Al Afaei,Belgium,Home win
Argentina,Saudi Arabia,1,0,2,0,88012,"Lusail Iconic Stadium, Lusail",Group stage,2022-11-22,Qatar,2022,Lionel Messi@10,"Saleh Al-Shehri@48,Salem Al-Dawsari@53",0,0,2022-0095,3,1-2,1,False,Group,2020s,Lusail Iconic Stadium,Lusail,Saudi Arabia,Away win
Denmark,Tunisia,0,0,0,0,42925,"Education City Stadium, Doha",Group stage,2022-11-22,Qatar,2022,,,0,0,2022-0096,0,0-0,0,False,Group,2020s,Education City Stadium,Doha,Draw,Draw
